batch_no,1000_kernel_weight_min,malt_foreign_matter,malt_friability,malt_moisture_max,malt_hot_water_extract_on_dry_weight_basis_min,ph_of_wort_extract_solution_hwe,malt_predicted_spirit_yield_min,fermentability_min,screening_above_2_5mm_sieve,screening_above_2_8mm_sieve,screening_below_2_2mm_sieve,grist_ratio_on_milling_1_course,grist_ratio_on_milling_1_medium,grist_ratio_on_milling_1_fine,grist_ratio_on_milling_2_course,grist_ratio_on_milling_2_medium,grist_ratio_on_milling_2_fine,grist_ratio_on_milling_3_course,grist_ratio_on_milling_3_medium,grist_ratio_on_milling_3_fine,grist_ratio_on_milling_mean_of_1_3_course,grist_ratio_on_milling_mean_of_1_3_medium,grist_ratio_on_milling_mean_of_1_3_fine,ph_process_water,total_dissolve_solids_max,hardness_max,chloride_max,alkalinity,free_chlorine,sensory,proteinase_t_enzyme_shelf_life_at_the_time_of_use_min,date_of_mfg_a_proteinase_t,date_of_expiry_b_proteinase_t,date_of_use_c_proteinase_t,shelf_life_available_proteinase_t,optimash_tbg_enzyme_shelf_life_at_the_time_of_use,date_of_mfg_a_optimash_tbg,date_of_expiry_b_optimash_tbg,date_of_use_c_optimash_tbg,shelf_life_available_optimash_tbg,spezyme_alpha_nk_enzyme_shelf_life_at_the_time_of_use,date_of_mfg_a_spezyme_alpha_nk,date_of_expiry_b_spezyme_alpha_nk,date_of_use_c_spezyme_alpha_nk,shelf_life_available_spezyme_alpha_nk,diazyme_tga_enzyme_shelf_life_at_the_time_of_use,date_of_mfg_a_diazyme_tga,date_of_expiry_b_diazyme_tga,date_of_use_c_diazyme_tga,shelf_life_available_diazyme_tga,grist_case_weight,sparging_mashing_water_flow,sparging_mashing_totaliser,mashing_temperature,sparging_water_temperature,wort_receiver_temperature,mash_time,rest_recirculation,wort_collection_time,water_1st_sparge_volume,water_1st_sparge_temperature,water_2nd_sparge_volume,water_2nd_sparge_temperature,wort_collection_flow_rate,mash_vessel_turnaround_time,weak_wort_output_temperature,raking_arm_speed,draff_loss,dose_of_enzyme_1_proteinase_t,time_of_addition_of_enzyme_proteinase_t,temperature_in_mash_tun_proteinase_t,dose_of_enzyme_2_optimash_tbg,time_of_addition_of_enzyme_optimash_tbg,temperature_in_mashtun_optimash_tbg,dose_of_enzyme_3_spezyme_alpha_nk,time_of_addition_of_enzyme_spezyme_alpha_nk,temperature_in_mashtun_spezyme_alpha_nk,dose_of_enzyme_4_diazyme_tga,time_of_addition_of_enzyme_diazyme_tga,temperature_in_mash_tun_diazyme_tga,spent_lees_reused_kl,weak_wort_volume,mash_water_volume,total_grist_weight_loaded,grist_ratio_water,1st_wort_gravity_wort,1st_wort_turbidity_wort,set_up_wort_gravity_wort,wort_ph_wort,fermentable_sugar_optional_wort,wort_sensory_observation_wort
257,38.94,0.2,75.16,4.46,77.52,,337.47,78.41,,,,,,,,,,,,,17.7,75.5,6.8,6.9,190,150,22,70,nil,accept,,2023-11-01 00:00:00,2025-11-01 00:00:00,2025-06-08 00:00:00,0.1997264021887825,,2024-11-01 00:00:00,2025-11-01 00:00:00,2025-06-08 00:00:00,0.4,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-06-08 00:00:00,0.4698630136986301,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-06-08 00:00:00,0.5315068493150685,7982,800,280,65.8,78.6,,25,30,150,150,78.5,150,85.1,130,280,,0.33,,480,2.0,65.5,1000,2.0,65.4,2000,3.0,65.5,2600,2,65.4,,180,100,7982,1:4.25.,1.071,307,1.055,4.99,14.0,
271,37.91,0.3,74.51,4.51,77.48,,336.15,77.52,,,,,,,,,,,,,17.8,75.4,6.8,7.4,182,150,21,70,nil,accept,,2024-12-01 00:00:00,2026-12-01 00:00:00,2025-06-11 00:00:00,0.736986301369863,,2024-11-01 00:00:00,2025-11-01 00:00:00,2025-06-11 00:00:00,0.3917808219178082,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-06-11 00:00:00,0.4657534246575342,,2024-09-01 00:00:00,2026-09-01 00:00:00,2025-06-11 00:00:00,0.6123287671232877,7987,800,280,66.2,78.1,,25,30,150,150,78.2,150,78.1,130,280,,0.33,,480,2.0,65.7,1000,2.0,65.5,2000,3.0,65.5,2600,2,65.5,,180,100,7987,1:4.25.,1.07,301,1.056,5.04,14.2,
287,38.87,0.2,75.11,4.53,77.75,,337.34,78.19,,,,,,,,,,,,,17.8,75.4,6.8,7.12,162,100,21,70,nil,accept,,2024-12-01 00:00:00,2026-12-01 00:00:00,2025-06-14 00:00:00,0.7328767123287672,,2024-11-01 00:00:00,2025-11-01 00:00:00,2025-06-14 00:00:00,0.3835616438356164,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-06-14 00:00:00,0.4616438356164383,,2024-09-01 00:00:00,2026-09-01 00:00:00,2025-06-14 00:00:00,0.6082191780821918,7981,800,280,66.1,78.6,,25,30,150,150,78.5,150,85.5,130,280,,0.33,,480,2.0,65.4,1000,2.0,65.5,2000,3.0,65.5,2600,2,65.4,,180,100,7981,1:4.25.,1.07,314,1.056,4.98,14.1,
303,38.78,0.2,74.81,4.41,77.45,,337.44,78.6,,,,,,,,,,,,,18.0,75.1,6.8,7.22,242,150,28,70,nil,accept,,2024-12-01 00:00:00,2026-12-01 00:00:00,2025-06-18 00:00:00,0.7273972602739726,,2024-11-01 00:00:00,2025-11-01 00:00:00,2025-06-18 00:00:00,0.3726027397260274,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-06-18 00:00:00,0.4561643835616438,,2024-09-01 00:00:00,2026-09-01 00:00:00,2025-06-18 00:00:00,0.6027397260273972,7988,800,280,65.8,77.9,,25,30,150,150,78.1,150,85.1,130,280,,0.33,,480,2.0,65.4,1000,2.0,65.3,2000,3.0,65.4,2600,2,65.2,,180,100,7988,1:4.25.,1.071,291,1.057,4.82,14.4,
322,39.07,0.3,75.11,4.68,77.28,,337.16,78.3,,,,,,,,,,,,,18.4,74.9,6.8,7.12,218,150,32,80,nil,accept,,2024-12-01 00:00:00,2026-12-01 00:00:00,2025-06-22 00:00:00,0.7219178082191781,,2024-11-01 00:00:00,2025-11-01 00:00:00,2025-06-22 00:00:00,0.3616438356164383,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-06-22 00:00:00,0.4506849315068493,,2024-09-01 00:00:00,2026-09-01 00:00:00,2025-06-22 00:00:00,0.5972602739726027,7981,800,280,65.8,78.7,,25,30,150,150,78.6,150,85.3,130,280,,0.33,,480,2.0,65.2,1000,2.0,65.4,2000,3.0,65.3,2600,2,65.2,,180,100,7981,1:4.25.,1.071,305,1.057,4.99,14.3,
347,38.41,0.2,76.22,4.76,77.37,,336.01,78.5,,,,,,,,,,,,,17.9,74.8,6.7,7.21,241,150,34,80,nil,accept,,2024-12-01 00:00:00,2026-12-01 00:00:00,2025-06-27 00:00:00,0.7150684931506849,,2024-11-01 00:00:00,2025-11-01 00:00:00,2025-06-27 00:00:00,0.347945205479452,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-06-27 00:00:00,0.4438356164383562,,2024-09-01 00:00:00,2026-09-01 00:00:00,2025-06-27 00:00:00,0.5904109589041096,7984,800,280,65.7,78.6,,25,30,150,150,78.6,150,85.6,130,280,,0.33,,480,2.0,65.4,1000,2.0,65.5,2000,3.0,65.4,2600,2,65.5,,180,100,7984,1:4.25.,1.071,312,1.057,4.94,14.4,
363,39.02,0.2,77.14,4.83,77.56,,337.04,78.6,,,,,,,,,,,,,18.2,75.1,6.8,7.41,232,150,37,90,nil,accept,,2024-12-01 00:00:00,2026-12-01 00:00:00,2025-07-01 00:00:00,0.7095890410958904,,2024-11-01 00:00:00,2025-11-01 00:00:00,2025-07-01 00:00:00,0.336986301369863,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-07-01 00:00:00,0.4383561643835616,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-07-01 00:00:00,0.5,7981,800,280,66.1,78.5,,25,30,150,150,78.5,150,85.2,130,280,,0.33,,480,2.0,65.5,1000,2.0,65.6,2000,3.0,65.4,2600,2,65.5,,180,100,7981,1:4.25.,1.071,308,1.057,4.99,14.5,
380,38.47,0.2,75.12,4.69,77.75,,338.81,78.99,,,,,,,,,,,,,17.8,75.4,6.8,7.38,267,150,34,90,nil,accept,,2024-12-01 00:00:00,2026-12-01 00:00:00,2025-07-04 00:00:00,0.7054794520547946,,2024-11-01 00:00:00,2025-11-01 00:00:00,2025-07-04 00:00:00,0.3287671232876712,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-07-04 00:00:00,0.4342465753424657,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-07-04 00:00:00,0.4958904109589041,7982,800,280,66.1,78.8,,25,30,150,150,78.6,150,85.8,130,280,,0.33,,480,2.0,65.8,1000,2.0,65.6,2000,3.0,65.8,2600,2,65.6,,180,100,7982,1:4.25.,1.071,312,1.057,4.99,14.4,
398,38.9,0.3,74.71,4.82,77.72,,336.78,78.02,,,,,,,,,,,,,18.5,74.6,6.9,7.39,211,100,22,90,nil,accept,,2024-12-01 00:00:00,2026-12-01 00:00:00,2025-07-09 00:00:00,0.6986301369863014,,2024-11-01 00:00:00,2025-11-01 00:00:00,2025-07-09 00:00:00,0.3150684931506849,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-07-09 00:00:00,0.4273972602739726,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-07-09 00:00:00,0.4890410958904109,7981,800,280,66.3,78.4,,25,30,150,150,78.0,150,85.1,130,280,,0.33,,480,2.0,65.6,1000,2.0,65.8,2000,3.0,65.6,2600,2,65.5,,180,100,7981,1:4.25.,1.072,298,1.056,5.1,14.2,
419,39.16,0.2,76.11,4.63,77.79,,336.69,77.78,,,,,,,,,,,,,18.2,75.1,6.8,7.46,172,150,16,80,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-07-14 00:00:00,0.4684931506849315,,2025-02-01 00:00:00,2026-02-01 00:00:00,2025-07-14 00:00:00,0.5534246575342465,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-07-14 00:00:00,0.4205479452054794,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-07-14 00:00:00,0.4821917808219178,7981,800,280,65.9,78.9,,25,30,150,150,78.9,150,85.1,130,280,,0.33,,480,2.0,65.7,1000,2.0,65.5,2000,3.0,65.4,2600,2,65.6,,180,100,7981,1:4.25.,1.071,310,1.056,4.75,14.2,
435,38.41,0.3,78.26,4.87,77.4,,337.53,78.26,,,,,,,,,,,,,18.1,74.7,6.7,7.31,212,150,21,90,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-07-17 00:00:00,0.4602739726027397,,2025-02-01 00:00:00,2026-02-01 00:00:00,2025-07-17 00:00:00,0.5452054794520548,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-07-17 00:00:00,0.4164383561643835,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-07-17 00:00:00,0.4780821917808219,7983,800,280,66.0,78.7,,25,30,150,150,78.7,150,85.3,130,280,,0.33,,480,2.0,65.6,1000,2.0,65.5,2000,3.0,65.6,2600,2,65.5,,180,100,7983,1:4.25.,1.072,308,1.058,4.91,14.4,
455,37.82,0.2,79.22,4.48,77.7,,334.71,79.22,,,,,,,,,,,,,18.5,74.4,6.8,7.24,191,150,23,50,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-07-21 00:00:00,0.4493150684931506,,2025-02-01 00:00:00,2026-02-01 00:00:00,2025-07-21 00:00:00,0.5342465753424658,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-07-21 00:00:00,0.410958904109589,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-07-21 00:00:00,0.4726027397260274,7984,800,280,66.0,78.1,,25,30,150,150,78.1,150,85.1,130,280,,0.33,,480,2.0,65.5,1000,2.0,65.6,2000,3.0,65.5,2600,2,65.2,,180,100,7984,1:4.25.,1.07,309,1.057,4.95,14.4,
473,38.91,0.3,76.68,4.57,77.62,,334.79,77.98,,,,,,,,,,,,,18.9,74.3,6.8,7.31,187,100,13,75,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-07-25 00:00:00,0.4383561643835616,,2025-02-01 00:00:00,2026-02-01 00:00:00,2025-07-25 00:00:00,0.5232876712328767,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-07-25 00:00:00,0.4054794520547945,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-07-25 00:00:00,0.4671232876712329,7985,800,280,66.0,78.8,,25,30,150,150,78.6,150,85.1,130,280,,0.33,,480,2.0,65.6,1000,2.0,65.7,2000,3.0,65.5,2600,2,65.4,,180,100,7985,1:4.25.,1.07,302,1.057,4.89,14.4,
489,38.16,0.3,74.89,4.83,77.76,,335.81,78.16,,,,,,,,,,,,,18.5,74.3,6.8,7.36,182,150,23,100,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-07-29 00:00:00,0.4273972602739726,,2025-02-01 00:00:00,2026-02-01 00:00:00,2025-07-29 00:00:00,0.5123287671232877,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-07-29 00:00:00,0.4,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-07-29 00:00:00,0.4616438356164383,7984,800,280,65.9,78.6,,25,30,150,150,78.4,150,85.2,130,280,,0.33,,480,2.0,65.5,1000,2.0,65.6,2000,3.0,65.4,2600,2,65.4,,180,100,7984,1:4.25.,1.071,312,1.056,4.97,14.2,
505,38.21,0.3,76.21,4.73,77.6,,335.42,78.68,,,,,,,,,,,,,18.7,74.0,6.9,7.07,175,100,16,50,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-08-01 00:00:00,0.4191780821917808,,2025-02-01 00:00:00,2026-02-01 00:00:00,2025-08-01 00:00:00,0.5041095890410959,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-08-01 00:00:00,0.3958904109589041,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-08-01 00:00:00,0.4575342465753425,7982,800,280,66.1,78.6,,25,30,150,150,78.6,150,85.0,130,280,,0.33,,480,2.0,65.6,1000,2.0,65.6,2000,3.0,65.5,2600,2,65.5,,180,100,7982,1:4.25.,1.071,300,1.057,4.9,14.4,
522,38.87,0.2,75.44,4.56,78.67,,335.11,78.67,,,,,,,,,,,,,18.7,74.4,7.0,7.28,187,100,24,50,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-08-05 00:00:00,0.4082191780821917,,2025-02-01 00:00:00,2026-02-01 00:00:00,2025-08-05 00:00:00,0.4931506849315068,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-08-05 00:00:00,0.3904109589041096,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-08-05 00:00:00,0.4520547945205479,7986,800,280,66.0,78.5,,25,30,150,150,78.5,150,85.2,130,280,,0.33,,480,2.0,65.8,1000,2.0,65.8,2000,3.0,65.8,2600,2,65.7,,180,100,7986,1:4.25.,1.071,300,1.056,4.91,14.4,
539,38.94,0.2,76.18,4.71,78.0,,333.81,78.58,,,,,,,,,,,,,18.8,74.3,6.7,7.21,191,100,19,75,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-08-08 00:00:00,0.4,,2025-02-01 00:00:00,2026-02-01 00:00:00,2025-08-08 00:00:00,0.4849315068493151,,2024-05-17 00:00:00,2026-05-17 00:00:00,2025-08-08 00:00:00,0.3863013698630137,,2024-07-01 00:00:00,2026-07-01 00:00:00,2025-08-08 00:00:00,0.447945205479452,8102,800,280,66.2,78.5,,25,30,150,150,78.5,150,85.5,130,280,,0.33,,480,2.0,66.0,1000,2.0,66.1,2000,3.0,65.9,2600,2,65.8,,180,100,8102,1:4.25.,1.072,300,1.059,5.02,14.6,
640,41.98,0.3,86.24,4.28,81.74,,358.65,85.84,,,,,,,,,,,,,19.1,74.1,6.7,7.07,172,100,21,50,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-08-29 00:00:00,0.3424657534246575,,2025-03-01 00:00:00,2026-03-01 00:00:00,2025-08-29 00:00:00,0.5041095890410959,,2024-06-17 00:00:00,2026-06-17 00:00:00,2025-08-29 00:00:00,0.4,,2024-09-01 00:00:00,2026-09-01 00:00:00,2025-08-29 00:00:00,0.5041095890410959,7982,800,280,65.8,78.8,,25,30,150,150,78.8,150,85.1,130,280,,0.33,,480,2.0,65.5,1000,2.0,65.8,2000,3.0,65.7,2600,2,65.6,,180,100,7982,1:4.25.,1.081,325,1.061,4.99,15.0,
659,42.74,0.2,86.58,4.31,79.91,,358.64,85.47,,,,,,,,,,,,,18.8,74.4,6.8,7.08,164,100,18,50,nil,accept,,2025-01-01 00:00:00,2026-01-01 00:00:00,2025-09-02 00:00:00,0.3315068493150685,,2025-03-01 00:00:00,2026-03-01 00:00:00,2025-09-02 00:00:00,0.4931506849315068,,2024-06-17 00:00:00,2026-06-17 00:00:00,2025-09-02 00:00:00,0.3945205479452054,,2024-09-01 00:00:00,2026-09-01 00:00:00,2025-09-02 00:00:00,0.4986301369863014,7987,800,280,65.8,78.6,,25,30,150,150,78.6,150,85.1,130,280,,0.33,,480,2.0,65.8,1000,2.0,65.7,2000,3.0,65.6,2600,2,65.6,,180,100,7987,1:4.25.,1.081,345,1.059,4.97,14.6,
689,42.24,0.3,86.43,4.35,79.84,,360.21,86.27,,,,,,,,,,,,,19.1,74.2,6.8,7.12,191,100,18,50,nil,accept,,2025-01-01 00:00:00,2027-01-01 00:00:00,2025-09-09 00:00:00,0.6561643835616439,,2025-03-01 00:00:00,2026-03-01 00:00:00,2025-09-09 00:00:00,0.473972602739726,,2024-06-17 00:00:00,2026-06-17 00:00:00,2025-09-09 00:00:00,0.384931506849315,,2024-09-01 00:00:00,2026-09-01 00:00:00,2025-09-09 00:00:00,0.4890410958904109,7980,800,280,66.0,78.4,,25,30,150,150,78.4,150,85.2,130,280,,0.33,,480,2.0,65.6,1000,2.0,65.8,2000,3.0,65.6,2600,2,65.8,,180,100,7980,1:4.25.,1.08,312,1.058,4.94,14.4,
